Job Title,Company Name,Location,Job Skill,Date,Link
French Onboarding Specialist,Teleperformance - Egypt -,"Cairo, Egypt",Full TimeWork From HomeEntry Level · 1 - 20 Yrs of Exp · Customer Service/Support · Human Resources · Human Resources · Human Resources (HR) · Microsoft Office · Onboarding · Recruitment · HR · Communication · Communication skills,3 days ago,https://wuzzuf.net/jobs/p/Yg51CoGXs9Pw-French-Onboarding-Specialist-Teleperformance---Egypt-Cairo-Egypt?o=49&l=sp&t=sj&a=None|search-v3|hpb
Customer Service Agent -Mail & Chat (English Account),Etisalat Egypt -,"Maadi, Cairo, Egypt",Full TimeEntry Level · 0 - 10 Yrs of Exp · Customer Service/Support · Sales/Retail · Tourism/Travel · Communication · Communication skills · is,3 days ago,https://wuzzuf.net/jobs/p/TiI4EyzgK71c-Customer-Service-Agent--Mail-Chat-English-Account-Etisalat-Egypt-Cairo-Egypt?o=50&l=sp&t=sj&a=None|search-v3|hpb
German Quality Auditor,Confidential -,"Ain Shams, Cairo, Egypt",Full TimeExperienced · 1 - 2 Yrs of Exp · Customer Service/Support · Quality · Auditing · Call Center · Communication skills · german · Microsoft Office · quality · Quality Assurance · Quality Control,3 days ago,https://wuzzuf.net/jobs/p/YLSOQNvLnXdY-German-Quality-Auditor-Cairo-Egypt?o=51&l=sp&t=sj&a=None|search-v3|hpb
ATS T&C Engineer,Alstom -,"Cairo, Egypt",Full TimeExperienced · 3 - 4 Yrs of Exp · Engineering - Mechanical/Electrical · Railway · Electrical Engineering · Testing · Commissioning,4 days ago,https://wuzzuf.net/jobs/p/ZvHHiF6LITLn-ATS-TC-Engineer-Alstom-Cairo-Egypt?o=52&l=sp&t=sj&a=None|search-v3|hpb
Technical Writer,DIGITISED -,"Cairo, Egypt",Full TimeWork From HomeExperienced · 4 - 5 Yrs of Exp · Writing/Editorial · IT/Software Development · Engineering - Telecom/Technology · Content · Editing · English · Information Technology (IT) · SEO · Software · technical,4 days ago,https://wuzzuf.net/jobs/p/MDiJUGcSSwls-Technical-Writer-DIGITISED-Cairo-Egypt?o=53&l=sp&t=sj&a=None|search-v3|hpb
Sales Account Manager,Target Integrated Systems -,"Maadi, Cairo, Egypt",Full TimeExperienced · 2 - 6 Yrs of Exp · Business Development · Sales/Retail · CRM · account manager · Sales · Sales Target · sales skills · Software,4 days ago,https://wuzzuf.net/jobs/p/kYrpPkVD4KIr-Sales-Account-Manager-Target-Integrated-Systems-Cairo-Egypt?o=54&l=sp&t=sj&a=None|search-v3|hpb
Back Office Agent,Etisalat Egypt -,"Maadi, Cairo, Egypt",Full TimeEntry Level · 1 - 2 Yrs of Exp · Customer Service/Support · Customer Service · Customer Care · English · Customer Support · Microsoft Office · immediate hiring,4 days ago,https://wuzzuf.net/jobs/p/IUWbKSbu34Dr-Back-Office-Agent-Etisalat-Egypt-Cairo-Egypt?o=55&l=sp&t=sj&a=None|search-v3|hpb
Internal Auditor,Sky Holding -,"Maadi, Cairo, Egypt",Full TimeExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Quality · Analyst/Research · Accounting · Auditing · Finance · auditor · Financial Analysis · Internal auditor,5 days ago,https://wuzzuf.net/jobs/p/kiJd17DNGyxY-Internal-Auditor-Sky-Holding-Cairo-Egypt?o=56&l=sp&t=sj&a=None|search-v3|hpb
Account Receivable,TRAVCO GROUP -,"Sheikh Zayed, Giza, Egypt",Full TimeEntry Level · 1 - 3 Yrs of Exp · Accounting/Finance · Accounting · Accounts Receivable · Finance · Financial Analysis,5 days ago,https://wuzzuf.net/jobs/p/60k5WxBsoxZy-Account-Receivable-TRAVCO-GROUP-Giza-Egypt?o=57&l=sp&t=sj&a=None|search-v3|hpb
PMO Manager,Confidential -,"Cairo, Egypt",Full TimeSenior Management · 8 - 12 Yrs of Exp · Project/Program Management · PMO · PMP · Project · Engineering · Project Management · Management,5 days ago,https://wuzzuf.net/jobs/p/Ut3w4CQIIoOD-PMO-Manager-Cairo-Egypt?o=58&l=sp&t=sj&a=None|search-v3|hpb
Process Electronics Engineer,VIVO -,"10th of Ramadan City, Sharqia, Egypt",Full TimeExperienced · 1 - 3 Yrs of Exp · males_only · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Communication · Electrical Engineering · Electronics · Engineering,26 days ago,https://wuzzuf.net/jobs/p/fbdX52uvenfP-Process-Electronics-Engineer-VIVO-Sharqia-Egypt?o=59&l=sp&t=sj&a=None|search-v3|hpb
Sales Representative - Cosmetics,Confidential -,"Giza, Giza, Egypt",Full TimeExperienced · 3 - 5 Yrs of Exp · Sales/Retail · Fashion · Cosmetics · Retail · Sales · sales skills · Sales Target,26 days ago,https://wuzzuf.net/jobs/p/8qZmkOzwWzV3-Sales-Representative---Cosmetics-Giza-Egypt?o=60&l=sp&t=sj&a=None|search-v3|hpb
Financial Auditor,Naguib Selim -,"Nasr City, Cairo, Egypt",Full TimeExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Operations/Management · Analyst/Research · Accounting · Accounting Software · analytical · Auditing · auditor · Computer Skills · Finance,5 days ago,https://wuzzuf.net/jobs/p/SJUsoeFrcoTp-Financial-Auditor-Naguib-Selim-Cairo-Egypt?o=61&l=sp&t=sj&a=None|search-v3|hpb
Customer Service-English account ((Nonvoice)),Etisalat Egypt -,"Cairo, Egypt",Full TimeEntry Level · 1 - 13 Yrs of Exp · Customer Service/Support · Customer Care · Customer Service · Customer Support · Experience · is · Sales · English · Fluent English · Mail and chat,6 days ago,https://wuzzuf.net/jobs/p/uilWxmdq5NDZ-Customer-Service-English-account-Nonvoice-Etisalat-Egypt-Cairo-Egypt?o=62&l=sp&t=sj&a=None|search-v3|hpb
Native Developer (Android),Bee Smart Payment Solutions -,"Maadi, Cairo, Egypt",Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Android · Information Technology (IT) · Design · SDLC · Android OS · OOP,6 days ago,https://wuzzuf.net/jobs/p/J9icZpsD14Qa-Native-Developer-Android-Bee-Smart-Payment-Solutions-Cairo-Egypt?o=63&l=sp&t=sj&a=None|search-v3|hpb
HR & Administration Manager,M & A Glass Processing Company -,"6th of October, Giza, Egypt",Full TimeManager · 10 - 12 Yrs of Exp · males_only · Administration · Human Resources · Operations/Management · HR · Admin · Social Insurance · Manufacturing · Labor · Administration · Microsoft Office,6 days ago,https://wuzzuf.net/jobs/p/BJyDC9ts836S-HR-Administration-Manager-M-A-Glass-Processing-Company-Giza-Egypt?o=64&l=sp&t=sj&a=None|search-v3|hpb
Back Office Specialist,Etisalat Egypt -,"Maadi, Cairo, Egypt",Full TimeEntry Level · 1 - 2 Yrs of Exp · Customer Service/Support · Back Office · #nonvoice · Customer Support · Customer Care · Customer Relations · Hiring · Communication skills,6 days ago,https://wuzzuf.net/jobs/p/ntOuSyriGZAG-Back-Office-Specialist-Etisalat-Egypt-Cairo-Egypt?o=65&l=sp&t=sj&a=None|search-v3|hpb
Collections Manager,Target Recruitment  & HR Solutions  -,"Cairo, Egypt",Full TimeManager · 5 - 8 Yrs of Exp · Accounting/Finance · Collection · Finance · English · excel,6 days ago,https://wuzzuf.net/jobs/p/lHH7oS06if6I-Collections-Manager-Target-Recruitment-HR-Solutions-Cairo-Egypt?o=66&l=sp&t=sj&a=None|search-v3|hpb
Call Center Agent - (Medical),Confidential -,"6th of October, Giza, Egypt",Full TimeEntry Level · 1 - 2 Yrs of Exp · Customer Service/Support · Customer Service · Communication skills · Customer Support · Customer Care · Call Center · Communication · Problem Solving · Skills · English,6 days ago,https://wuzzuf.net/jobs/p/AH3To0Ba2rlz-Call-Center-Agent---Medical-Giza-Egypt?o=67&l=sp&t=sj&a=None|search-v3|hpb
Change Manager,Confidential -,"Cairo, Egypt",Full TimeManager · 8 - 12 Yrs of Exp · Banking · Operations/Management · Change Management · Project Management · Branches · Banking · Digital Banking,27 days ago,https://wuzzuf.net/jobs/p/fMjqx38ewRoD-Change-Manager-Cairo-Egypt?o=68&l=sp&t=sj&a=None|search-v3|hpb
"German Speaking Customer Service Advisor - Relocate to Athens, Greece",Webhelp Greece -,"Athens, Greece",Full TimeEntry Level · Customer Service/Support · Communication · Customer Service · Customer Support · Inbound · Emails · Customer Care · Call Center · Inbound Calls · Support,27 days ago,https://wuzzuf.net/jobs/p/kqdAqw0NNPxF-German-Speaking-Customer-Service-Advisor---Relocate-to-Athens-Greece-Webhelp-Greece-Athens-Greece?o=69&l=sp&t=sj&a=None|search-v3|hpb
Material Engineer (Pipes),AlGammal Contracting -,"Katameya, Cairo, Egypt",Full TimeExperienced · 3 - 5 Yrs of Exp · males_only · Quality · Purchasing/Procurement · Engineering - Other · Communication skills · Engineering · Pipes · Management · Infrastructure · Projects · Microsoft Office,8 days ago,https://wuzzuf.net/jobs/p/CMkFWtw7F2uZ-Material-Engineer-Pipes-AlGammal-Contracting-Cairo-Egypt?o=70&l=sp&t=sj&a=None|search-v3|hpb
Compliance specialist,BariQ -,"6th of October, Giza, Egypt",Full TimeExperienced · 3 - 5 Yrs of Exp · Other · Quality Assurance · Safety · Science · Compliance · Quality Control,8 days ago,https://wuzzuf.net/jobs/p/xj6qkxWCv6pn-Compliance-specialist-BariQ-Giza-Egypt?o=71&l=sp&t=sj&a=None|search-v3|hpb
Quality Assurance Specialist,Arma Non Food -,"10th of Ramadan City, Cairo, Egypt",Full TimeEntry Level · 1 - 4 Yrs of Exp · Quality · Industry · ISO · Manufacturing · QA · Quality Assurance · Science · Microsoft Office · Microsoft Excel · Microsoft Word,14 days ago,https://wuzzuf.net/jobs/p/67nCnqkjOlD6-Quality-Assurance-Specialist-Arma-Non-Food-Cairo-Egypt?o=72&l=sp&t=sj&a=None|search-v3|hpb
Quality Engineer,Chloride -,"Abu Rawash, Giza, Egypt",Full TimeExperienced · 3 - 5 Yrs of Exp · R&D/Science · Quality · Engineering - Other · Chemical Engineer · Engineering · QMS · Six Sigma · Quality Control · Quality Assurance · Quality Control Plan,9 days ago,https://wuzzuf.net/jobs/p/3PpPodDb7vvb-Quality-Engineer-Chloride-Giza-Egypt?o=73&l=sp&t=sj&a=None|search-v3|hpb
plastic surgery doctor,Egyptian Saudi co for recruiting to GULF region -,"Dammam, Saudi Arabia",Full TimeManager · 10 - 20 Yrs of Exp · Medical/Healthcare · Surgery · MEDICINE · Plastic Surgery,10 days ago,https://wuzzuf.net/jobs/p/VRtiZLGHNk8I-plastic-surgery-doctor-Egyptian-Saudi-co-for-recruiting-to-GULF-region-Dammam-Saudi-Arabia?o=74&l=sp&t=sj&a=None|search-v3|hpb
Accountant,AKM Realestate and construction  -,"6th of October, Giza, Egypt",Full TimeExperienced · 2 - 8 Yrs of Exp · males_only · Accounting/Finance · Accounting · Financial Analysis · Finance · Financial · Financial Management · analytical · MS Office · MS · office,10 days ago,https://wuzzuf.net/jobs/p/wERhP9tL6Lr5-Accountant-AKM-Realestate-and-construction-Giza-Egypt?o=75&l=sp&t=sj&a=None|search-v3|hpb
